Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Probable Pitcher,Batting Order
15934-37984,P,Jose,Fernandez,45.23529412,17,11700,CIN@MIA,MIA,CIN,,,Yes,
15934-12477,P,Chris,Sale,45,17,11000,ATL@CWS,CWS,ATL,,,Yes,
15934-5118,1B,Miguel,Cabrera,11.43882353,85,3300,DET@TOR,DET,TOR,,,,
15934-49523,1B,Jose,Abreu,9.445783133,83,2800,ATL@CWS,CWS,ATL,,,,
15934-17145,2B,Greg,Garcia,6.475675676,37,2000,STL@MIL,STL,MIL,,,,
15934-12113,3B,Josh,Donaldson,14.83488372,86,4800,DET@TOR,TOR,DET,,,,
15934-13719,3B,Nolan,Arenado,13.37857143,84,4700,PHI@COL,COL,PHI,,,,
15934-13929,3B,Manny,Machado,13.08125,80,4100,LAA@BAL,BAL,LAA,,,,
15934-52178,3B,Maikel,Franco,9.867901235,81,4000,PHI@COL,PHI,COL,,,,
15934-5607,3B,Evan,Longoria,10.71927711,83,3900,TAM@BOS,TAM,BOS,,,,
15934-13342,3B,Nick,Castellanos,11.10121951,82,3800,DET@TOR,DET,TOR,,,,
15934-12863,3B,Todd,Frazier,11.23855422,83,3700,ATL@CWS,CWS,ATL,,,,
15934-60650,3B,Jung Ho,Kang,9.670588235,51,3700,CHC@PIT,PIT,CHC,,,,
15934-38196,3B,Jake,Lamb,12.26626506,83,3700,ARI@SFG,ARI,SFG,,,,
15934-52147,3B,Kris,Bryant,13.96144578,83,3600,CHC@PIT,CHC,PIT,,,,
15934-13966,3B,Kyle,Seager,11.77882353,85,3500,SEA@KAN,SEA,KAN,,,,
15934-13710,3B,Yangervis,Solarte,10.96304348,46,3500,SDP@LOS,SDP,LOS,,,,
15934-5832,3B,Adrian,Beltre,10.15375,80,3500,MIN@TEX,TEX,MIN,,,,
15934-12292,3B,Danny,Valencia,10.34307692,65,3400,OAK@HOU,OAK,HOU,,,,
15934-5246,3B,Yunel,Escobar,8.869333333,75,3300,LAA@BAL,LAA,BAL,,,,
15934-5225,3B,Luis,Valbuena,8.784210526,76,3200,OAK@HOU,HOU,OAK,,,,
15934-38571,3B,Travis,Shaw,10.00481928,83,3200,TAM@BOS,BOS,TAM,DTD,Foot,,
15934-38976,3B,Jose,Ramirez,9.602597403,77,3100,NYY@CLE,CLE,NYY,,,,
15934-5557,3B,Aaron,Hill,8.35,78,3000,TAM@BOS,BOS,TAM,,,,
15934-12236,3B,Trevor,Plouffe,8.018965517,58,3000,MIN@TEX,MIN,TEX,DL,Ribs,,
15934-6130,3B,Jose,Reyes,12.3,3,3000,WAS@NYM,NYM,WAS,,,,
15934-21633,3B,Eugenio,Suarez,9.157142857,84,2900,CIN@MIA,CIN,MIA,,,,
15934-5223,3B,Jhonny,Peralta,8.179166667,24,2900,STL@MIL,STL,MIL,DTD,Thumb,,
15934-53844,3B,Matt,Duffy,8.17,70,2900,ARI@SFG,SFG,ARI,DL,Achilles,,
15934-6312,3B,Justin,Turner,9.128915663,83,2800,SDP@LOS,LOS,SDP,,,,
15934-5399,3B,Martin,Prado,8.316455696,79,2800,CIN@MIA,MIA,CIN,,,,
15934-11098,3B,Pedro,Alvarez,8.294339623,53,2700,LAA@BAL,BAL,LAA,,,,
15934-13892,3B,Hernan,Perez,6.916326531,49,2600,STL@MIL,MIL,STL,,,,
15934-12855,3B,Conor,Gillaspie,4.279166667,48,2500,ARI@SFG,SFG,ARI,,,,
15934-5164,3B,David,Wright,10.34054054,37,2500,WAS@NYM,NYM,WAS,DL,Neck,,
15934-5418,3B,Alex,Rodriguez,8.332,50,2400,NYY@CLE,NYY,CLE,,,,
15934-17091,3B,Jefry,Marte,6.675,36,2400,LAA@BAL,LAA,BAL,,,,
15934-38592,3B,Cheslor,Cuthbert,8.347169811,53,2400,SEA@KAN,KAN,SEA,,,,
15934-13203,3B,Eric,Campbell,3.93,30,2200,WAS@NYM,NYM,WAS,,,,
15934-70636,3B,Ryan,Schimpf,8.365,20,2200,SDP@LOS,SDP,LOS,,,,
15934-12560,3B,Brandon,Snyder,5.1125,16,2200,ATL@CWS,ATL,CWS,,,,
15934-38100,3B,Matt,Reynolds,3.592592593,27,2200,WAS@NYM,NYM,WAS,,,,
15934-12196,3B,Danny,Worth,2.781818182,11,2200,OAK@HOU,HOU,OAK,,,,
15934-5242,3B,Kelly,Johnson,4.893055556,72,2200,WAS@NYM,NYM,WAS,,,,
15934-13638,3B,Wilmer,Flores,7.6,55,2200,WAS@NYM,NYM,WAS,,,,
15934-16951,3B,Anthony,Rendon,10.16823529,85,2200,WAS@NYM,WAS,NYM,,,,
15934-11342,3B,Matt,Dominguez,0.6,5,2200,DET@TOR,TOR,DET,,,,
15934-52168,3B,Colin,Moran,2.666666667,6,2200,OAK@HOU,HOU,OAK,,,,
15934-5033,3B,Chase,Headley,7.688311688,77,2100,NYY@CLE,NYY,CLE,,,,
15934-5110,3B,Juan,Uribe,6.522580645,62,2100,NYY@CLE,CLE,NYY,,,,
15934-38088,3B,Adonis,Garcia,6.8125,64,2100,ATL@CWS,ATL,CWS,,,,
15934-13731,3B,Ryan,Flaherty,5.760416667,48,2100,LAA@BAL,BAL,LAA,,,,
15934-11331,3B,Brett,Wallace,5.114285714,70,2100,SDP@LOS,SDP,LOS,,,,
15934-13114,3B,Chase,d'Arnaud,6.647916667,48,2000,ATL@CWS,ATL,CWS,,,,
15934-21874,3B,Jorge,Polanco,6.446153846,13,2000,MIN@TEX,MIN,TEX,,,,
15934-12965,3B,Matt,Davidson,9.7,1,2000,ATL@CWS,CWS,ATL,DL,Foot,,
15934-5437,3B,Casey,McGehee,0,1,2000,DET@TOR,DET,TOR,,,,
15934-49461,3B,Alex,Guerrero,4.943396226,106,2000,SDP@LOS,LOS,SDP,,,,
15934-38087,3B,Deven,Marrero,0.75,4,2000,TAM@BOS,BOS,TAM,,,,
15934-71182,3B,Jeimer,Candelario,2.4,5,2000,CHC@PIT,CHC,PIT,,,,
15934-38167,3B,Jason,Rogers,3.74,10,2000,CHC@PIT,PIT,CHC,,,,
15934-14026,3B,Cole,Figueroa,1.369565217,23,2000,SDP@LOS,LOS,SDP,,,,
15934-13551,3B,Will,Middlebrooks,3,1,2000,STL@MIL,MIL,STL,,,,
