player,salary,team,pos,opp,ceil,floor,fpts
"Matt Shoemaker",7700,LAA,P,BAL,,,32.07
"Ubaldo Jimenez",6200,BAL,P,LAA,,,29.25
"Jake Arrieta",11300,CHC,P,PIT,,,39.48
"Francisco Liriano",8100,PIT,P,CHC,,,28.8
"Mike Pelfrey",5600,DET,P,TOR,,,14.55
"J.A. Happ",8500,TOR,P,DET,,,31.09
"Chris Archer",9100,TBR,P,BOS,,,31.71
"Sean O'Sullivan",4900,BOS,P,TBR,,,23.73
"Chad Green",6800,NYY,P,CLE,,,24.63
"Corey Kluber",10900,CLE,P,NYY,,,41.52
"Stephen Strasburg",10700,WAS,P,NYM,,,44.64
"Noah Syndergaard",10800,NYM,P,WAS,,,42.12
"Dan Straily",6400,CIN,P,MIA,,,25.17
"Jose Fernandez",11700,MIA,P,CIN,,,51.53
"Kyle Gibson",6300,MIN,P,TEX,,,22.47
"Cole Hamels",9500,TEX,P,MIN,,,39.72
"Michael Wacha",7500,STL,P,MIL,,,34.94
"Jimmy Nelson",6900,MIL,P,STL,,,27.72
"Matt Wisler",6900,ATL,P,CHW,,,26.16
"Chris Sale",11000,CHW,P,ATL,,,50.31
"Vincent Velasquez",7900,PHI,P,COL,,,25.97
"Jon Gray",7700,COL,P,PHI,,,27.18
"Daniel Mengden",7300,OAK,P,HOU,,,27.15
"Collin McHugh",8000,HOU,P,OAK,,,34.67
"Hisashi Iwakuma",8500,SEA,P,KCR,,,32.6
"Yordano Ventura",7700,KCR,P,SEA,,,30.28
"Andrew Cashner",6300,SDP,P,LAD,,,27.69
"Scott Kazmir",8800,LAD,P,SDP,,,35.26
"Patrick Corbin",6500,ARI,P,SFG,,,26.49
"Jeff Samardzija",9100,SFG,P,ARI,,,33.17
